nom,nombreEnfants,statut,categorie,userEmail
Beaux-parents,12,INSTRUCTION,LONG_METRAGE,
Le Choc du futur,15,CONSTRUCTION,LONG_METRAGE,
Le Daim,21,CONSTRUCTION,LONG_METRAGE,
Porte sans clef,16,CONSTRUCTION,LONG_METRAGE,
Made in China,12,CONSTRUCTION,LONG_METRAGE,
Yves,15,CONSTRUCTION,LONG_METRAGE,
Je la rencontrerai,9,CONSTRUCTION,LONG_METRAGE,
Haut les filles,5,CONSTRUCTION,LONG_METRAGE,
Ibiza,25,CONSTRUCTION,LONG_METRAGE,
Quand on crie au loup,4,CONSTRUCTION,LONG_METRAGE,
Premier de la classe,24,CONSTRUCTION,LONG_METRAGE,
100 kilos d'étoiles,29,CONSTRUCTION,LONG_METRAGE,
Persona non grata,3,CONSTRUCTION,LONG_METRAGE,
La Source,10,CONSTRUCTION,LONG_METRAGE,
Mon frère,29,CONSTRUCTION,LONG_METRAGE,
C'est quoi cette mamie ?!,21,CONSTRUCTION,LONG_METRAGE,
"Playmobil, le film",4,CONSTRUCTION,LONG_METRAGE,
La Fille au bracelet,18,CONSTRUCTION,LONG_METRAGE,
Je promets d'être sage,16,CONSTRUCTION,LONG_METRAGE,
Perdrix,16,CONSTRUCTION,LONG_METRAGE,
Ma famille et le loup,23,CONSTRUCTION,LONG_METRAGE,
"Roubaix, une lumière",26,CONSTRUCTION,LONG_METRAGE,
Thalasso,26,CONSTRUCTION,LONG_METRAGE,
Haut Perchés,7,CONSTRUCTION,LONG_METRAGE,
La Dernière Vie de Simon,14,CONSTRUCTION,LONG_METRAGE,
La Vie scolaire,15,CONSTRUCTION,LONG_METRAGE,
Une fille facile,12,CONSTRUCTION,LONG_METRAGE,
Vif-Argent,28,CONSTRUCTION,LONG_METRAGE,
Frankie,28,CONSTRUCTION,LONG_METRAGE,
J'accuse,1,CONSTRUCTION,LONG_METRAGE,
Andy,20,CONSTRUCTION,LONG_METRAGE,
Fête de famille,13,CONSTRUCTION,LONG_METRAGE,
Fourmi,4,CONSTRUCTION,LONG_METRAGE,
Inséparables,19,CONSTRUCTION,LONG_METRAGE,
Les Hirondelles de Kaboul,10,CONSTRUCTION,LONG_METRAGE,
Deux moi,28,CONSTRUCTION,LONG_METRAGE,
Jeanne,17,CONSTRUCTION,LONG_METRAGE,
Portrait de la jeune fille en feu,18,CONSTRUCTION,LONG_METRAGE,
Trois jours et une vie,5,CONSTRUCTION,LONG_METRAGE,
Selfie,25,CONSTRUCTION,LONG_METRAGE,
Au nom de la terre,30,CONSTRUCTION,LONG_METRAGE,
Le Dindon,20,CONSTRUCTION,LONG_METRAGE,
Alice et le Maire,7,CONSTRUCTION,LONG_METRAGE,
J'irai où tu iras,3,CONSTRUCTION,LONG_METRAGE,
"Vous êtes jeunes, vous êtes beaux",5,CONSTRUCTION,LONG_METRAGE,
Bonjour le monde !,13,CONSTRUCTION,LONG_METRAGE,
Debout sur la montagne,5,CONSTRUCTION,LONG_METRAGE,
En liberté ! Le village démocratique de Pourgues,4,CONSTRUCTION,LONG_METRAGE,
Chambre 212,29,CONSTRUCTION,LONG_METRAGE,
Donne-moi des ailes,17,CONSTRUCTION,LONG_METRAGE,
Sœurs d'armes,4,CONSTRUCTION,LONG_METRAGE,
Banlieusards,18,CONSTRUCTION,LONG_METRAGE,
Fahim,10,CONSTRUCTION,LONG_METRAGE,
Camille,15,CONSTRUCTION,LONG_METRAGE,
La Vérité si je mens ! Les débuts,23,CONSTRUCTION,LONG_METRAGE,
L'Angle mort,16,CONSTRUCTION,LONG_METRAGE,
Hors normes,14,CONSTRUCTION,LONG_METRAGE,
Je ne sais pas si c'est tout le monde,4,CONSTRUCTION,LONG_METRAGE,
"Les Municipaux, trop c'est trop",15,CONSTRUCTION,LONG_METRAGE,
Braquer Poitiers,20,CONSTRUCTION,LONG_METRAGE,
Mon chien Stupide,7,CONSTRUCTION,LONG_METRAGE,
Play,10,CONSTRUCTION,LONG_METRAGE,
Un monde plus grand,6,CONSTRUCTION,LONG_METRAGE,
Amour-eux,16,CONSTRUCTION,LONG_METRAGE,
La Belle Époque,24,CONSTRUCTION,LONG_METRAGE,
Place des victoires,9,CONSTRUCTION,LONG_METRAGE,
Furie,3,CONSTRUCTION,LONG_METRAGE,
Joyeuse retraite !,25,CONSTRUCTION,LONG_METRAGE,
Les Enfants d'Isadora,2,CONSTRUCTION,LONG_METRAGE,
Terminal Sud,7,CONSTRUCTION,LONG_METRAGE,
Les Éblouis,1,CONSTRUCTION,LONG_METRAGE,
Les Traducteurs,10,CONSTRUCTION,LONG_METRAGE,
Chanson douce,13,CONSTRUCTION,LONG_METRAGE,
Gloria Mundi,27,CONSTRUCTION,LONG_METRAGE,
Toute ressemblance...,9,CONSTRUCTION,LONG_METRAGE,
Le meilleur reste à venir,2,CONSTRUCTION,LONG_METRAGE,
Seules les bêtes,20,CONSTRUCTION,LONG_METRAGE,
Les Envoûtés,3,CONSTRUCTION,LONG_METRAGE,
Docteur ?,20,CONSTRUCTION,LONG_METRAGE,
Dans la matinée,11,CONSTRUCTION,LONG_METRAGE,
Lola vers la mer,10,CONSTRUCTION,LONG_METRAGE,
Notre Dame,21,CONSTRUCTION,LONG_METRAGE,
La Sainte Famille,28,CONSTRUCTION,LONG_METRAGE,
Rendez-vous chez les Malawas,25,CONSTRUCTION,LONG_METRAGE,
Mirage,29,CONSTRUCTION,LONG_METRAGE,
La Vérité,25,CONSTRUCTION,LONG_METRAGE,
